"tier","rows","proposed_tokens","accepted_tokens","rejected_tokens_est","reject_events","token_accept_rate_pct","pattern_s","decode_s","verify_s"
"det_ctx8","55","387","359","28","5","92.76","0.010679","1.808972","0.023132"
"strong_ctx8","117","207","182","25","14","87.92","0.011357","3.239729","0.01937"
"det_ctx5","18","82","57","25","9","69.51","0.002695","0.565793","0.005393"
"syntax_indent","39","47","45","2","2","95.74","0.003134","1.053505","0.00569"
"strong_ctx4","41","45","25","20","19","55.56","0.003969","1.120094","0.005647"
"det_ctx4","21","41","34","7","6","82.93","0.002611","0.604692","0.004011"
"det_ctx7","4","32","26","6","3","81.25","0.000882","0.151993","0.001607"
"strong_ctx6","26","27","18","9","9","66.67","0.002508","0.705268","0.00345"
"strong_ctx5","21","25","18","7","7","72","0.001868","0.577762","0.003224"
"syntax_class_next_method","14","17","14","3",,"82.35","0.001261","0.386966","0.002176"
"strong_ctx7","14","16","14","2","2","87.5","0.001103","0.377923","0.001979"
"syntax_return_terminal","4","15","15","0","0","100","0.000513","0.115893","0.00094"
"syntax_range_paren","1","12","5","7",,"41.67","0.00033","0.034399","0.000526"
"syntax_dunder_init","3","9","9","0","0","100","0.000364","0.092422","0.000615"
"syntax_minus_one","7","7","7","0","0","100","0.000783","0.18717","0.001078"
"syntax_none_guard_colon","3","6","6","0","0","100","0.0004","0.082493","0.000506"
"syntax_code_fence_def","5","5","5","0","0","100","0.000384","0.136769","0.000692"
"syntax_block_colon","2","4","3","1",,"75","0.000217","0.055059","0.000461"
"freq_ctx4","4","4","4","0","0","100","0.000485","0.109355","0.000579"
"syntax_code_fence_class","3","3","2","1",,"66.67","0.000235","0.081103","0.000352"
"syntax_same_indent_simple_assign","3","3","2","1",,"66.67","0.000277","0.082096","0.000366"
"syntax_fib_n_minus_two","2","2","2","0","0","100","0.000237","0.054738","0.000355"
"syntax_dedent_after_terminal","1","1","0","1",,"0","7.6E-05","0.026988","0.000135"
"syntax_for_in","1","1","1","0","0","100","5.2E-05","0.025223","0.00013"
"syntax_increment_end","1","1","1","0","0","100","6E-05","0.026974","0.000159"
"none","723","0","0","0","0","0","0.055231","18.558674","0.056282"
